Run	Short	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	BREED	Bytes	Center Name	Consent	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Ecotype	Experiment	Instrument	isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	sex	specimen	SRA Study	strain	tissue	sub_species
SRR9670143	Xenspi	RNA-Seq	126	1205603532	PRJNA552202	SAMN12248863	Model organism or animal	not applicable	614706482	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6430646	Illumina HiSeq 2500	not applicable	Xenspi_LPA3_MXG2_VE_F	SINGLE	unspecified	TRANSCRIPTOMIC	Xenotilapia sp. 'spilopterus north' AB-2019	ILLUMINA	2020-11-02T00:00:00Z	2019-07-11T10:22:00Z	1	Xenspi_LPA3_MXG2_VE_F	female	Xenspi_LPA3_MXG2_VE_F	SRP214209	not applicable	liver	
SRR9670163	Xenspi	RNA-Seq	126	1056765906	PRJNA552202	SAMN12248845	Model organism or animal	not applicable	515835745	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6430626	Illumina HiSeq 2500	not applicable	Xenspi_LNH4_MWD1_GI_F	SINGLE	unspecified	TRANSCRIPTOMIC	Xenotilapia sp. 'spilopterus north' AB-2019	ILLUMINA	2020-11-02T00:00:00Z	2019-07-11T10:22:00Z	1	Xenspi_LNH4_MWD1_GI_F	female	Xenspi_LNH4_MWD1_GI_F	SRP214209	not applicable	gills	
SRR9670170	Xenspi	RNA-Seq	126	1013670126	PRJNA552202	SAMN12248867	Model organism or animal	not applicable	500455130	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6430619	Illumina HiSeq 2500	not applicable	Xenspi_LPA3_MXG6_BR_F	SINGLE	unspecified	TRANSCRIPTOMIC	Xenotilapia sp. 'spilopterus north' AB-2019	ILLUMINA	2020-11-02T00:00:00Z	2019-07-11T10:24:00Z	1	Xenspi_LPA3_MXG6_BR_F	female	Xenspi_LPA3_MXG6_BR_F	SRP214209	not applicable	brain	
SRR9670171	Xenspi	RNA-Seq	126	1139029668	PRJNA552202	SAMN12248864	Model organism or animal	not applicable	567400416	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6430618	Illumina HiSeq 2500	not applicable	Xenspi_LPA3_MXG3_AD_F	SINGLE	unspecified	TRANSCRIPTOMIC	Xenotilapia sp. 'spilopterus north' AB-2019	ILLUMINA	2020-11-02T00:00:00Z	2019-07-11T10:24:00Z	1	Xenspi_LPA3_MXG3_AD_F	female	Xenspi_LPA3_MXG3_AD_F	SRP214209	not applicable	gonads	
SRR9686323	PcybrN	RNA-Seq	126	1195989102	PRJNA552202	SAMN12247829	Model organism or animal	not applicable	637381973	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445928	Illumina HiSeq 2500	not applicable	PcybrN_JXI5_KPH1_VE_F	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	PcybrN_JXI5_KPH1_VE_F	female	PcybrN_JXI5_KPH1_VE_F	SRP214209	not applicable	liver	
SRR9686324	PcybrN	RNA-Seq	126	1210129074	PRJNA552202	SAMN12247830	Model organism or animal	not applicable	661905824	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445927	Illumina HiSeq 2500	not applicable	PcybrN_JXI5_KPH2_AD_F	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	PcybrN_JXI5_KPH2_AD_F	female	PcybrN_JXI5_KPH2_AD_F	SRP214209	not applicable	gonads	
SRR9686325	Permic	RNA-Seq	126	1040070906	PRJNA552202	SAMN12247898	Model organism or animal	not applicable	514602324	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445926	Illumina HiSeq 2500	not applicable	Permic_MUG9_LUC6_AD_F	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Permic_MUG9_LUC6_AD_F	female	Permic_MUG9_LUC6_AD_F	SRP214209	not applicable	gonads	
SRR9686326	Permic	RNA-Seq	126	1089852498	PRJNA552202	SAMN12247897	Model organism or animal	not applicable	550268584	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445925	Illumina HiSeq 2500	not applicable	Permic_MUD1_LYI8_BR_M	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Permic_MUD1_LYI8_BR_M	male	Permic_MUD1_LYI8_BR_M	SRP214209	not applicable	brain	
SRR9686327	Permic	RNA-Seq	126	6477187878	PRJNA552202	SAMN12247900	Model organism or animal	not applicable	3350257142	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445924	Illumina HiSeq 2500	not applicable	Permic_MUG9_LUC8_GI_F	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:35:00Z	1	Permic_MUG9_LUC8_GI_F	female	Permic_MUG9_LUC8_GI_F	SRP214209	not applicable	gills	
SRR9686328	Permic	RNA-Seq	126	1194554592	PRJNA552202	SAMN12247899	Model organism or animal	not applicable	642385175	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445923	Illumina HiSeq 2500	not applicable	Permic_MUG9_LUC7_VE_F	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Permic_MUG9_LUC7_VE_F	female	Permic_MUG9_LUC7_VE_F	SRP214209	not applicable	liver	
